County,Trump_Votes,Trump_Pct,Biden_Votes,Biden_Pct,Other_Votes,Other_Pct,Margin,Margin_Pct,Total
JEFFERSON,"47,570",50.2,"46,073",48.62,"1,116",1.18,"1,497",1.58,"94,759"
JIM HOGG,833,40.91,"1,197",58.79,6,0.3,-364,-17.88,"2,036"
JIM WELLS,"7,453",54.52,"6,119",44.77,97,0.71,"1,334",9.75,"13,669"
JOHNSON,"54,628",75.85,"16,464",22.86,928,1.29,"38,164",52.99,"72,020"
JONES,"5,660",83.96,999,14.82,82,1.22,"4,661",69.14,"6,741"
KARNES,"3,968",75.55,"1,234",23.5,50,0.95,"2,734",52.05,"5,252"
KAUFMAN,"37,624",66.34,"18,405",32.45,689,1.21,"19,219",33.89,"56,718"
KENDALL,"20,083",75.92,"6,020",22.76,349,1.32,"14,063",53.16,"26,452"
KENEDY,127,65.46,65,33.51,2,1.03,62,31.95,194
KENT,411,88.96,47,10.17,4,0.87,364,78.79,462
KERR,"20,879",75.25,"6,524",23.51,342,1.24,"14,355",51.74,"27,745"
KIMBLE,"1,987",86.69,284,12.39,21,0.92,"1,703",74.3,"2,292"
KING,151,94.97,8,5.03,0,0.0,143,89.94,159
KINNEY,"1,144",71.37,446,27.82,13,0.81,698,43.55,"1,603"
KLEBERG,"5,504",50.29,"5,314",48.56,126,1.15,190,1.73,"10,944"
KNOX,"1,180",81.04,265,18.2,11,0.76,915,62.84,"1,456"
LAMAR,"16,760",78.16,"4,458",20.79,224,1.05,"12,302",57.37,"21,442"
LAMB,"3,521",79.84,840,19.05,49,1.11,"2,681",60.79,"4,410"
LAMPASAS,"8,086",77.76,"2,144",20.62,169,1.62,"5,942",57.14,"10,399"
LA SALLE,"1,335",55.49,"1,052",43.72,19,0.79,283,11.77,"2,406"
LAVACA,"8,804",86.34,"1,333",13.07,60,0.59,"7,471",73.27,"10,197"
LEE,"6,255",77.22,"1,750",21.6,95,1.18,"4,505",55.62,"8,100"
LEON,"7,523",86.62,"1,072",12.34,90,1.04,"6,451",74.28,"8,685"
LIBERTY,"23,302",79.44,"5,785",19.72,247,0.84,"17,517",59.72,"29,334"
LIMESTONE,"6,789",74.65,"2,213",24.33,93,1.02,"4,576",50.32,"9,095"
LIPSCOMB,"1,205",89.06,131,9.68,17,1.26,"1,074",79.38,"1,353"
LIVE OAK,"4,199",83.08,819,16.2,36,0.72,"3,380",66.88,"5,054"
LLANO,"10,079",79.61,"2,465",19.47,116,0.92,"7,614",60.14,"12,660"
LOVING,60,90.91,4,6.06,2,3.03,56,84.85,66
LUBBOCK,"78,861",65.27,"40,017",33.12,"1,939",1.61,"38,844",32.15,"120,817"
LYNN,"1,853",80.81,428,18.67,12,0.52,"1,425",64.14,"2,293"
MADISON,"4,169",78.69,"1,088",20.54,41,0.77,"3,081",58.15,"5,298"
MARION,"3,470",71.34,"1,339",27.53,55,1.13,"2,131",43.81,"4,864"
MARTIN,"1,857",85.97,288,13.33,15,0.7,"1,569",72.64,"2,160"
MASON,"1,991",80.48,457,18.47,26,1.05,"1,534",62.01,"2,474"
MATAGORDA,"9,845",71.72,"3,733",27.19,149,1.09,"6,112",44.53,"13,727"
MAVERICK,"6,881",44.84,"8,332",54.29,133,0.87,"-1,451",-9.45,"15,346"
MCCULLOCH,"2,904",84.52,490,14.26,42,1.22,"2,414",70.26,"3,436"
MCLENNAN,"59,543",60.84,"36,688",37.49,"1,641",1.67,"22,855",23.35,"97,872"
MCMULLEN,460,89.15,53,10.27,3,0.58,407,78.88,516
MEDINA,"15,642",69.04,"6,773",29.89,242,1.07,"8,869",39.15,"22,657"
MENARD,823,80.06,197,19.16,8,0.78,626,60.9,"1,028"
MIDLAND,"45,624",77.34,"12,329",20.9,"1,035",1.76,"33,295",56.44,"58,988"
MILAM,"7,984",75.48,"2,496",23.6,98,0.92,"5,488",51.88,"10,578"
MILLS,"2,217",88.5,271,10.82,17,0.68,"1,946",77.68,"2,505"
MITCHELL,"2,170",84.14,397,15.39,12,0.47,"1,773",68.75,"2,579"
MONTAGUE,"8,615",87.74,"1,097",11.17,107,1.09,"7,518",76.57,"9,819"
MONTGOMERY,"193,382",71.22,"74,377",27.39,"3,784",1.39,"119,005",43.83,"271,543"
MOORE,"4,359",79.14,"1,062",19.28,87,1.58,"3,297",59.86,"5,508"
MORRIS,"3,872",69.3,"1,669",29.87,46,0.83,"2,203",39.43,"5,587"
MOTLEY,604,92.64,46,7.06,2,0.3,558,85.58,652
NACOGDOCHES,"17,378",64.88,"9,000",33.6,407,1.52,"8,378",31.28,"26,785"
NAVARRO,"13,800",72.16,"5,101",26.67,222,1.17,"8,699",45.49,"19,123"
NEWTON,"4,882",80.11,"1,173",19.25,39,0.64,"3,709",60.86,"6,094"
NOLAN,"4,131",77.11,"1,162",21.69,64,1.2,"2,969",55.42,"5,357"
NUECES,"64,617",50.75,"60,925",47.85,"1,780",1.4,"3,692",2.9,"127,322"
OCHILTREE,"2,812",89.1,302,9.57,42,1.33,"2,510",79.53,"3,156"
OLDHAM,917,90.88,81,8.03,11,1.09,836,82.85,"1,009"
ORANGE,"29,186",81.09,"6,357",17.66,451,1.25,"22,829",63.43,"35,994"
PALO PINTO,"10,179",81.5,"2,178",17.44,132,1.06,"8,001",64.06,"12,489"
PANOLA,"9,326",81.44,"2,057",17.96,68,0.6,"7,269",63.48,"11,451"
PARKER,"62,045",81.5,"13,017",17.1,"1,066",1.4,"49,028",64.4,"76,128"
PARMER,"2,135",80.57,488,18.42,27,1.01,"1,627",62.15,"2,650"
PECOS,"3,215",68.87,"1,382",29.61,71,1.52,"1,833",39.26,"4,668"
POLK,"18,573",76.79,"5,387",22.27,226,0.94,"13,186",54.52,"24,186"
POTTER,"22,820",68.45,"9,921",29.76,596,1.79,"12,899",38.69,"33,337"
PRESIDIO,721,32.52,"1,463",65.99,33,1.49,-742,-33.47,"2,217"
RAINS,"5,155",85.16,842,13.91,56,0.93,"4,313",71.25,"6,053"
RANDALL,"50,796",78.54,"12,802",19.79,"1,076",1.67,"37,994",58.75,"64,674"
REAGAN,942,83.81,172,15.3,10,0.89,770,68.51,"1,124"
REAL,"1,643",82.9,320,16.15,19,0.95,"1,323",66.75,"1,982"
RED RIVER,"4,517",77.8,"1,246",21.46,43,0.74,"3,271",56.34,"5,806"
REEVES,"2,254",61.1,"1,395",37.82,40,1.08,859,23.28,"3,689"
REFUGIO,"2,210",65.66,"1,108",32.92,48,1.42,"1,102",32.74,"3,366"
ROBERTS,529,96.18,17,3.09,4,0.73,512,93.09,550
ROBERTSON,"5,646",69.71,"2,374",29.31,79,0.98,"3,272",40.4,"8,099"
ROCKWALL,"36,726",68.15,"16,412",30.45,753,1.4,"20,314",37.7,"53,891"
RUNNELS,"3,807",86.35,552,12.52,50,1.13,"3,255",73.83,"4,409"
RUSK,"16,534",77.34,"4,629",21.65,214,1.01,"11,905",55.69,"21,377"
SABINE,"4,784",87.12,669,12.18,38,0.7,"4,115",74.94,"5,491"
SAN AUGUSTINE,"3,007",75.14,980,24.49,15,0.37,"2,027",50.65,"4,002"
SAN JACINTO,"10,161",80.39,"2,337",18.49,142,1.12,"7,824",61.9,"12,640"
SAN PATRICIO,"16,516",63.79,"8,988",34.71,387,1.5,"7,528",29.08,"25,891"
SAN SABA,"2,308",88.7,287,11.03,7,0.27,"2,021",77.67,"2,602"
SCHLEICHER,940,81.1,211,18.21,8,0.69,729,62.89,"1,159"
SCURRY,"4,983",84.89,818,13.94,69,1.17,"4,165",70.95,"5,870"
SHACKELFORD,"1,484",91.15,130,7.99,14,0.86,"1,354",83.16,"1,628"
SHELBY,"7,975",79.06,"2,068",20.5,44,0.44,"5,907",58.56,"10,087"
SHERMAN,886,89.31,91,9.17,15,1.52,795,80.14,992
SMITH,"69,080",68.85,"29,615",29.52,"1,639",1.63,"39,465",39.33,"100,334"
SOMERVELL,"4,105",82.98,768,15.52,74,1.5,"3,337",67.46,"4,947"
STARR,"8,247",47.06,"9,123",52.06,155,0.88,-876,-5.0,"17,525"
STEPHENS,"3,385",88.96,397,10.43,23,0.61,"2,988",78.53,"3,805"
STERLING,584,91.39,51,7.98,4,0.63,533,83.41,639
STONEWALL,615,83.56,116,15.76,5,0.68,499,67.8,736
SUTTON,"1,222",78.48,322,20.68,13,0.84,900,57.8,"1,557"
SWISHER,"1,845",78.34,478,20.3,32,1.36,"1,367",58.04,"2,355"
TARRANT,"409,741",49.09,"411,567",49.31,"13,389",1.6,"-1,826",-0.22,"834,697"
TAYLOR,"39,547",71.73,"14,588",26.46,"1,000",1.81,"24,959",45.27,"55,135"
TERRELL,334,72.93,119,25.98,5,1.09,215,46.95,458
TERRY,"2,812",77.85,757,20.96,43,1.19,"2,055",56.89,"3,612"
THROCKMORTON,806,90.16,82,9.17,6,0.67,724,80.99,894
TITUS,"7,570",71.81,"2,856",27.09,115,1.1,"4,714",44.72,"10,541"
TOM GREEN,"32,313",71.47,"12,239",27.07,658,1.46,"20,074",44.4,"45,210"
TRAVIS,"161,337",26.43,"435,860",71.41,"13,152",2.16,"-274,523",-44.98,"610,349"
TRINITY,"5,579",80.41,"1,323",19.07,36,0.52,"4,256",61.34,"6,938"
TYLER,"8,194",84.82,"1,403",14.52,63,0.66,"6,791",70.3,"9,660"
UPSHUR,"15,809",83.56,"2,877",15.21,233,1.23,"12,932",68.35,"18,919"
UPTON,"1,178",86.11,170,12.43,20,1.46,"1,008",73.68,"1,368"
UVALDE,"6,174",59.69,"4,073",39.38,97,0.93,"2,101",20.31,"10,344"
VAL VERDE,"8,284",54.21,"6,771",44.31,225,1.48,"1,513",9.9,"15,280"
VAN ZANDT,"22,270",85.56,"3,516",13.51,243,0.93,"18,754",72.05,"26,029"
VICTORIA,"23,358",68.25,"10,380",30.33,488,1.42,"12,978",37.92,"34,226"
WALKER,"15,375",65.12,"7,884",33.39,353,1.49,"7,491",31.73,"23,612"
WALLER,"14,260",62.73,"8,191",36.03,283,1.24,"6,069",26.7,"22,734"
WARD,"3,241",79.83,764,18.82,55,1.35,"2,477",61.01,"4,060"
WASHINGTON,"12,959",74.27,"4,261",24.42,229,1.31,"8,698",49.85,"17,449"
WEBB,"25,898",37.8,"41,820",61.05,788,1.15,"-15,922",-23.25,"68,506"
WHARTON,"11,926",71.15,"4,694",28.01,141,0.84,"7,232",43.14,"16,761"
WHEELER,"2,159",92.38,168,7.19,10,0.43,"1,991",85.19,"2,337"
WICHITA,"32,069",69.65,"13,161",28.59,810,1.76,"18,908",41.06,"46,040"
WILBARGER,"3,524",77.9,956,21.13,44,0.97,"2,568",56.77,"4,524"
WILLACY,"2,441",43.99,"3,108",56.01,0,0.0,-667,-12.02,"5,549"
WILLIAMSON,"139,729",48.15,"143,795",49.56,"6,644",2.29,"-4,066",-1.41,"290,168"
WILSON,"18,463",73.76,"6,350",25.37,219,0.87,"12,113",48.39,"25,032"
WINKLER,"1,753",82.46,358,16.84,15,0.7,"1,395",65.62,"2,126"
WISE,"27,032",83.52,"4,973",15.37,360,1.11,"22,059",67.15,"32,365"
WOOD,"19,049",83.63,"3,509",15.4,221,0.97,"15,540",68.23,"22,779"
YOAKUM,"2,174",82.63,420,15.96,37,1.41,"1,754",66.67,"2,631"
YOUNG,"7,110",86.3,"1,034",12.55,95,1.15,"6,076",73.75,"8,239"
ZAPATA,"2,033",52.48,"1,826",47.13,15,0.39,207,5.35,"3,874"
ZAVALA,"1,490",34.03,"2,864",65.4,25,0.57,"-1,374",-31.37,"4,379"
TOTALS,"5,890,347",52.01,"5,259,126",46.44,"175,813",1.55,"631,221",5.57,"11,325,286"
